#date precip TMax Tmin
   
19500502 0.00 54 36
19500503 0.01 53 35
19500504 0.05 49 43
19500505 0.10 52 39
19500506 0.00 53 38
19500507 0.00 60 34
19500508 0.00 61 41
19500509 0.01 55 40
19500510 0.00 66 49
19500511 0.00 73 44
19500512 0.00 68 48
19500513 0.00 65 44
19500514 0.00 63 39
19500515 0.00 62 40
19500516 0.04 61 41
19500517 0.28 53 41
19500518 0.00 55 37
19500519 0.00 62 46
19500520 0.00 67 43
19500521 0.00 63 47
19500522 0.02 56 43
19500523 0.00 61 37
19500524 0.00 69 37
19500525 0.00 79 40
19500526 0.04 73 45
19500527 0.14 60 47
19500528 0.01 63 45
19500529 0.00 63 46
19500530 0.00 65 43
19500531 0.00 72 41
19500601 0.00 67 47
19500602 0.00 78 47
19500603 0.00 84 46
19500604 0.00 70 44
19500605 0.06 61 43
19500606 0.22 52 45
19500607 0.07 55 47
19500608 0.00 64 48
19500609 0.00 72 46
19500610 0.02 73 53
19500611 0.00 75 51
19500612 0.01 59 51
19500613 0.02 64 51
19500614 0.01 58 52
19500615 0.00 73 54
19500616 0.00 84 54
19500617 0.00 65 56
19500618 0.00 73 55
19500619 0.00 80 53
19500620 0.01 69 54
19500621 0.07 62 49
19500622 0.05 61 49
19500623 0.01 64 48
19500624 0.00 66 48
19500625 0.01 68 47
19500626 0.00 78 49
19500627 0.03 78 57
19500628 0.00 82 57
19500629 0.00 81 57
19500630 0.00 77 57
19500701 0.00 77 50
19500702 0.00 81 51
19500703 0.00 80 47
19500704 0.00 79 50
19500705 0.00 78 51
19500706 0.00 73 54
19500707 0.00 69 52
19500708 0.21 66 47
19500709 0.01 68 53
19500710 0.00 68 53
19500711 0.00 72 52
19500712 0.00 80 51
19500713 0.00 76 50
19500714 0.00 74 55
19500715 0.00 69 51
19500716 0.00 75 52
19500717 0.00 83 48
19500718 0.00 77 53
19500719 0.36 77 54
19500720 0.00 77 51
19500721 0.00 86 56
19500722 0.00 82 54
19500723 0.00 81 54
19500724 0.00 81 53
19500725 0.00 79 53
19500726 0.00 70 56
19500727 0.23 68 54
19500728 0.19 64 53
19500729 0.00 68 55
19500730 0.00 72 52
19500731 0.00 78 52
19500801 0.00 83 53
19500802 0.03 67 52
19500803 0.00 68 51
19500804 0.00 71 44
19500805 0.00 67 49
19500806 0.12 65 53
19500807 0.00 72 55
19500808 0.00 76 50
19500809 0.00 77 47
19500810 0.00 77 51
19500811 0.00 79 48
19500812 0.00 78 49
19500813 0.00 76 48
19500814 0.26 72 57
19500815 1.20 63 57
19500816 0.00 77 56
19500817 0.00 82 56
19500818 0.00 81 53
19500819 0.00 84 53
19500820 0.00 86 55
19500821 0.00 85 55
19500822 0.37 75 55
19500823 0.17 68 57
19500824 0.02 73 56
19500825 0.00 74 55
19500826 0.00 85 53
19500827 0.00 74 55
19500828 0.00 75 50
19500829 0.00 72 53
19500830 0.00 75 45
19500831 0.00 79 46
19500901 0.00 83 51
19500902 0.00 80 57
19500903 0.13 64 55
19500904 0.06 67 53
19500905 0.00 72 44
19500906 0.00 70 50
19500907 0.00 71 48
19500908 0.00 75 43
19500909 0.00 73 45
19500910 0.00 67 47
19500911 0.00 77 47
19500912 0.00 77 45
19500913 0.00 60 50
19500914 0.00 65 49
19500915 0.00 61 45
19500916 0.00 69 50
19500917 0.00 73 48
19500918 0.00 70 44
19500919 0.00 63 47
19500920 0.00 71 42
19500921 0.00 86 51
19500922 0.00 75 52
19500923 0.01 67 52
19500924 0.99 60 55
19500925 0.63 60 49
19500926 0.11 60 45
19500927 0.02 60 40
19500928 0.00 55 38
19500929 0.00 58 40
19500930 0.35 61 36
19501001 0.00 58 35
19501002 0.00 60 35
19501003 0.05 57 48
19501004 0.92 64 48
19501005 0.54 55 46
19501006 0.03 59 45
19501007 0.00 71 51
19501008 0.74 61 47
19501009 0.73 57 41
19501010 0.85 62 49
19501011 0.00 64 42
19501012 0.02 59 50
19501013 0.00 55 50
19501014 0.04 53 47
19501015 0.00 53 36
19501016 0.03 50 40
19501017 0.22 54 43
19501018 0.37 56 47
19501019 0.11 59 48
19501020 0.02 55 42
19501021 0.00 51 36
19501022 0.00 50 34
19501023 0.05 55 38
19501024 0.09 54 37
19501025 0.56 57 42
19501026 0.17 53 40
19501027 0.54 52 43
